id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
8214698,Ravens,1,0,0,0,0,0,0,0,26,7,7,7,7,26,26,26
8214727,49ers,1,0,0,0,0,0,0,0,1,32,32,32,32,1,1,1
8214711,Cardinals,1,0,0,0,0,0,0,0,8,25,25,25,25,8,8,8
8214720,Broncos,1,0,0,0,0,0,0,0,5,28,28,28,28,5,5,5
8214699,Steelers,1,0,0,0,0,0,0,0,29,4,4,4,4,29,29,29
8214717,Dolphins,1,0,0,0,0,0,0,0,14,19,19,19,19,14,14,14
8214726,Commanders,1,0,0,0,0,0,0,0,12,21,21,21,21,12,12,12
8214716,Colts,1,0,0,0,0,0,0,0,11,22,22,22,22,11,11,11
8214704,Vikings,1,0,0,0,0,0,0,0,32,1,1,1,1,32,32,32
8214700,Browns,1,0,0,0,0,0,0,0,6,27,27,27,27,6,6,6
8214701,Jets,1,0,0,0,0,0,0,0,19,14,14,14,14,19,19,19
8214703,Chiefs,1,0,0,0,0,0,0,0,10,23,23,23,23,10,10,10
8214706,Panthers,1,0,0,0,0,0,0,0,22,11,11,11,11,22,22,22
8214707,Saints,1,0,0,0,0,0,0,0,27,6,6,6,6,27,27,27
8214710,Giants,1,0,0,0,0,0,0,0,17,16,16,16,16,17,17,17
8214712,Bengals,1,0,0,0,0,0,0,0,3,30,30,30,30,3,3,3
8214713,Jaguars,1,0,0,0,0,0,0,0,18,15,15,15,15,18,18,18
8214715,Texans,1,0,0,0,0,0,0,0,30,3,3,3,3,30,30,30
8214719,Bills,1,0,0,0,0,0,0,0,4,29,29,29,29,4,4,4
8214722,Lions,1,0,0,0,0,0,0,0,20,13,13,13,13,20,20,20
8214723,Packers,1,0,0,0,0,0,0,0,21,12,12,12,12,21,21,21
8214724,Bears,1,0,0,0,0,0,0,0,2,31,31,31,31,2,2,2
8214721,Chargers,1,0,0,0,0,0,0,0,9,24,24,24,24,9,9,9
8214728,Rams,1,0,0,0,0,0,0,0,25,8,8,8,8,25,25,25
8214718,Patriots,1,0,0,0,0,0,0,0,23,10,10,10,10,23,23,23
8214708,Buccaneers,1,0,0,0,0,0,0,0,7,26,26,26,26,7,7,7
8214714,Titans,1,0,0,0,0,0,0,0,31,2,2,2,2,31,31,31
8214702,Raiders,1,0,0,0,0,0,0,0,24,9,9,9,9,24,24,24
8214705,Falcons,1,0,0,0,0,0,0,0,16,17,17,17,17,16,16,16
8214729,Seahawks,1,0,0,0,0,0,0,0,28,5,5,5,5,28,28,28
8214725,Cowboys,1,0,0,0,0,0,0,0,13,20,20,20,20,13,13,13
8214709,Eagles,1,0,0,0,0,0,0,0,15,18,18,18,18,15,15,15
8219110,Steelers,1,0,1,1,0,0,25,0,20,23,7,21,9,17,31,27
8219087,Falcons,1,0,1,1,0,0,19,0,19,18,14,14,11,16,13,14
8219111,Rams,1,0,1,1,0,0,23,0,16,25,27,15,25,29,24,29
8219091,Eagles,1,0,1,0,0,1,8,0,10,4,5,1,1,4,9,4
8219089,Saints,1,0,1,1,0,0,18,0,28,8,22,19,23,21,17,23
8219108,Chargers,1,0,1,0,0,1,14,0,15,14,17,20,19,19,19,22
8219107,Seahawks,1,0,1,0,0,1,6,0,6,5,19,23,22,13,2,5
8219097,Colts,1,0,1,0,0,1,7,0,2,10,25,3,15,3,22,6
8219098,Dolphins,1,0,1,0,0,1,11,0,11,13,20,6,12,20,3,9
8219085,Chiefs,1,0,1,0,0,1,16,0,24,7,12,17,10,11,14,10
8219103,Bears,1,0,1,1,0,0,28,0,23,31,30,11,27,8,30,18
8219088,Panthers,1,0,1,0,0,1,13,0,4,21,18,12,13,1,16,3
8219102,Packers,1,0,1,1,0,0,20,0,30,6,24,4,16,31,23,31
8219109,Raiders,1,0,1,1,0,0,26,0,29,24,29,24,29,28,32,32
8219101,Lions,1,0,1,0,0,1,4,0,5,1,8,7,7,2,4,1
8219100,Broncos,1,0,1,1,0,0,29,0,27,28,21,31,28,14,10,11
8219099,Bills,1,0,1,0,0,1,12,0,26,3,2,10,2,9,27,17
8219082,Ravens,1,0,1,1,0,0,31,0,32,27,31,29,32,25,26,26
8219113,Titans,1,0,1,0,0,1,10,0,8,16,4,9,4,6,18,8
8219106,49ers,1,0,1,0,0,1,1,0,7,19,16,18,17,22,7,12
8219084,Jets,1,0,1,0,0,1,2,0,13,17,23,5,14,27,5,15
8219096,Texans,1,0,1,1,0,0,21,0,17,20,6,28,18,10,29,19
8219090,Buccaneers,1,0,1,0,0,1,9,0,9,15,15,2,6,26,12,24
8219095,Jaguars,1,0,1,1,0,0,22,0,12,29,32,16,30,15,21,20
8219086,Vikings,1,0,1,1,0,0,27,0,14,26,11,26,20,18,15,16
8219094,Bengals,1,0,1,1,0,0,32,0,31,30,9,27,21,32,8,30
8219112,Patriots,1,0,1,0,0,1,15,0,21,9,28,13,26,30,11,28
8219083,Browns,1,0,1,0,0,1,5,0,1,11,10,8,8,7,1,2
8219105,Commanders,1,0,1,1,0,0,30,0,22,32,26,32,31,23,25,25
8219104,Cowboys,1,0,1,0,0,1,3,0,3,2,1,25,3,24,6,13
8219092,Giants,1,0,1,1,0,0,17,0,25,12,3,22,5,5,20,7
8219093,Cardinals,1,0,1,1,0,0,24,0,18,22,13,30,24,12,28,21
8219135,Cowboys,1,0,2,1,0,1,9,3,18,2,6,16,9,28,14,23
8219120,Panthers,1,0,2,1,0,1,20,13,15,22,13,2,5,4,21,8
8219116,Jets,1,0,2,0,0,2,1,2,5,9,19,3,10,24,1,10
8219117,Chiefs,1,0,2,1,0,1,19,16,14,21,28,29,30,8,30,16
8219140,Steelers,1,0,2,1,0,1,13,25,19,15,11,15,13,20,32,31
8219118,Vikings,1,0,2,2,0,0,30,27,16,25,5,17,7,19,11,15
8219131,Broncos,1,0,2,2,0,0,29,29,25,24,20,27,26,29,4,22
8219119,Falcons,1,0,2,2,0,0,26,19,7,27,23,10,19,10,10,7
8219145,Raiders,1,0,2,1,0,1,21,26,13,29,30,25,29,13,31,26
8219129,Dolphins,1,0,2,0,0,2,5,11,12,6,18,12,17,22,3,11
8219124,Cardinals,1,0,2,1,0,1,16,24,8,23,14,32,23,12,28,20
8219144,Titans,1,0,2,0,0,2,4,10,2,4,4,11,4,1,7,2
8219143,Buccaneers,1,0,2,1,0,1,22,9,26,18,17,14,15,21,24,25
8219142,Patriots,1,0,2,1,0,1,23,15,28,16,27,24,28,31,19,30
8219136,Commanders,1,0,2,1,0,1,24,30,6,32,26,13,24,3,8,3
8219122,Eagles,1,0,2,1,0,1,14,8,27,10,3,5,2,14,13,13
8219141,Rams,1,0,2,2,0,0,28,23,10,30,24,22,25,11,26,19
8219139,Chargers,1,0,2,0,0,2,6,14,17,7,8,18,12,30,17,29
8219134,Bears,1,0,2,2,0,0,32,28,31,31,31,23,31,17,25,24
8219128,Colts,1,0,2,1,0,1,12,7,3,17,21,4,14,9,9,5
8219137,49ers,1,0,2,1,0,1,8,1,21,19,12,20,16,18,5,12
8219133,Packers,1,0,2,1,0,1,11,20,22,5,15,8,11,27,15,21
8219132,Lions,1,0,2,0,0,2,2,4,4,1,22,1,8,5,2,1
8219130,Bills,1,0,2,0,0,2,7,12,24,3,1,6,1,23,12,18
8219114,Ravens,1,0,2,1,0,1,25,31,30,26,32,21,32,15,20,17
8219127,Texans,1,0,2,1,0,1,18,21,11,20,9,30,18,25,27,27
8219126,Jaguars,1,0,2,1,0,1,10,22,9,13,25,9,21,2,22,6
8219125,Bengals,1,0,2,2,0,0,31,32,32,28,16,31,22,26,29,28
8219123,Giants,1,0,2,1,0,1,15,17,20,14,2,26,3,7,18,9
8219115,Browns,1,0,2,0,0,2,3,5,1,8,7,7,6,6,6,4
8219138,Seahawks,1,0,2,1,0,1,17,6,23,12,29,19,27,16,16,14
8219121,Saints,1,0,2,2,0,0,27,18,29,11,10,28,20,32,23,32
8219177,Falcons,1,0,3,3,0,0,30,26,22,30,21,17,20,27,12,25
8219162,Broncos,1,0,3,3,0,0,29,29,25,24,22,25,24,32,3,20
8219171,Steelers,1,0,3,1,0,2,9,13,7,9,19,9,14,17,32,31
8219169,Seahawks,1,0,3,2,0,1,20,17,27,15,25,18,25,22,5,13
8219160,Dolphins,1,0,3,0,0,3,4,5,11,7,18,13,15,13,6,6
8219167,Commanders,1,0,3,2,0,1,22,24,6,32,27,12,27,1,10,2
8219159,Colts,1,0,3,2,0,1,24,12,16,23,26,8,22,15,8,10
8219146,Ravens,1,0,3,2,0,1,26,25,30,29,32,14,32,19,14,15
8219147,Browns,1,0,3,0,0,3,2,3,1,3,2,6,1,6,4,5
8219148,Jets,1,0,3,1,0,2,5,1,12,6,10,1,4,31,1,12
8219149,Chiefs,1,0,3,2,0,1,19,19,15,18,29,20,29,9,30,17
8219151,Panthers,1,0,3,2,0,1,25,20,24,27,20,4,11,8,20,11
8219152,Saints,1,0,3,3,0,0,28,27,29,13,13,28,19,28,27,32
8219154,Giants,1,0,3,2,0,1,21,15,26,21,4,30,8,5,24,9
8219166,Cowboys,1,0,3,2,0,1,18,9,21,2,17,16,16,24,16,23
8219156,Bengals,1,0,3,3,0,0,32,31,32,25,9,29,18,18,26,27
8219157,Jaguars,1,0,3,1,0,2,8,10,2,16,31,10,28,4,21,4
8219158,Texans,1,0,3,1,0,2,13,18,8,14,5,31,17,20,25,28
8219161,Bills,1,0,3,1,0,2,16,7,28,11,1,11,2,25,11,19
8219163,Lions,1,0,3,0,0,3,1,2,3,1,16,3,5,3,2,1
8219164,Packers,1,0,3,1,0,2,10,11,23,5,14,5,7,16,22,18
8219165,Bears,1,0,3,2,0,1,27,32,31,28,30,22,31,23,23,29
8219170,Chargers,1,0,3,0,0,3,3,6,5,4,15,7,10,30,7,22
8219172,Rams,1,0,3,3,0,0,31,28,19,31,24,26,26,7,29,14
8219173,Patriots,1,0,3,1,0,2,12,23,18,12,23,23,23,26,13,24
8219153,Eagles,1,0,3,1,0,2,11,14,17,10,6,2,3,12,9,7
8219174,Buccaneers,1,0,3,1,0,2,15,22,14,17,12,19,12,21,18,21
8219175,Titans,1,0,3,1,0,2,7,4,4,8,7,15,9,2,19,3
8219176,Raiders,1,0,3,1,0,2,17,21,10,26,28,21,30,14,31,26
8219150,Vikings,1,0,3,2,0,1,23,30,20,22,3,27,6,29,17,30
8219168,49ers,1,0,3,1,0,2,6,8,13,19,11,24,13,10,15,8
8219155,Cardinals,1,0,3,1,0,2,14,16,9,20,8,32,21,11,28,16
8233662,Cowboys,1,1,0,0,0,0,0,0,13,20,20,20,20,13,13,13
8233672,Raiders,1,1,0,0,0,0,0,0,24,9,9,9,9,24,24,24
8233670,Buccaneers,1,1,0,0,0,0,0,0,7,26,26,26,26,7,7,7
8233671,Titans,1,1,0,0,0,0,0,0,31,2,2,2,2,31,31,31
8233653,Jaguars,1,1,0,0,0,0,0,0,18,15,15,15,15,18,18,18
8233649,Eagles,1,1,0,0,0,0,0,0,15,18,18,18,18,15,15,15
8233661,Bears,1,1,0,0,0,0,0,0,2,31,31,31,31,2,2,2
8233655,Colts,1,1,0,0,0,0,0,0,11,22,22,22,22,11,11,11
8233647,Panthers,1,1,0,0,0,0,0,0,22,11,11,11,11,22,22,22
8233650,Giants,1,1,0,0,0,0,0,0,17,16,16,16,16,17,17,17
8233669,Patriots,1,1,0,0,0,0,0,0,23,10,10,10,10,23,23,23
8233651,Cardinals,1,1,0,0,0,0,0,0,8,25,25,25,25,8,8,8
8233642,Ravens,1,1,0,0,0,0,0,0,26,7,7,7,7,26,26,26
8233668,Rams,1,1,0,0,0,0,0,0,25,8,8,8,8,25,25,25
8233654,Texans,1,1,0,0,0,0,0,0,30,3,3,3,3,30,30,30
8233660,Packers,1,1,0,0,0,0,0,0,21,12,12,12,12,21,21,21
8233659,Lions,1,1,0,0,0,0,0,0,20,13,13,13,13,20,20,20
8233658,Broncos,1,1,0,0,0,0,0,0,5,28,28,28,28,5,5,5
8233664,49ers,1,1,0,0,0,0,0,0,1,32,32,32,32,1,1,1
8233652,Bengals,1,1,0,0,0,0,0,0,3,30,30,30,30,3,3,3
8233673,Falcons,1,1,0,0,0,0,0,0,16,17,17,17,17,16,16,16
8233646,Vikings,1,1,0,0,0,0,0,0,32,1,1,1,1,32,32,32
8233645,Chiefs,1,1,0,0,0,0,0,0,10,23,23,23,23,10,10,10
8233643,Browns,1,1,0,0,0,0,0,0,6,27,27,27,27,6,6,6
8233657,Bills,1,1,0,0,0,0,0,0,4,29,29,29,29,4,4,4
8233665,Seahawks,1,1,0,0,0,0,0,0,28,5,5,5,5,28,28,28
8233656,Dolphins,1,1,0,0,0,0,0,0,14,19,19,19,19,14,14,14
8233667,Steelers,1,1,0,0,0,0,0,0,29,4,4,4,4,29,29,29
8233648,Saints,1,1,0,0,0,0,0,0,27,6,6,6,6,27,27,27
8233644,Jets,1,1,0,0,0,0,0,0,19,14,14,14,14,19,19,19
8233663,Commanders,1,1,0,0,0,0,0,0,12,21,21,21,21,12,12,12
8233666,Chargers,1,1,0,0,0,0,0,0,9,24,24,24,24,9,9,9
8273513,Falcons,1,1,1,0,0,1,15,0,15,13,16,23,23,20,16,17
8273488,Jets,1,1,1,1,0,0,19,0,20,18,13,17,16,17,10,10
8273501,Lions,1,1,1,0,0,1,16,0,7,25,30,3,20,21,26,25
8273487,Browns,1,1,1,0,0,1,6,0,18,5,4,27,6,22,19,22
8273483,Colts,1,1,1,1,0,0,24,0,30,14,3,22,3,25,28,29
8273490,Vikings,1,1,1,0,0,1,4,0,5,9,24,6,17,16,17,14
8273502,Packers,1,1,1,1,0,0,32,0,32,28,32,4,29,32,5,32
8273512,Raiders,1,1,1,1,0,0,20,0,13,22,25,2,14,24,4,15
8273500,Broncos,1,1,1,0,0,1,10,0,14,16,10,20,12,12,14,8
8273503,Bears,1,1,1,0,0,1,11,0,6,2,15,8,10,2,9,1
8273506,Seahawks,1,1,1,1,0,0,31,0,26,30,29,13,28,15,24,19
8273509,Patriots,1,1,1,0,0,1,9,0,12,20,9,29,18,8,31,18
8273510,Buccaneers,1,1,1,0,0,1,8,0,19,8,14,1,5,28,3,24
8273505,49ers,1,1,1,0,0,1,5,0,11,6,7,25,13,13,12,9
8273496,Bengals,1,1,1,1,0,0,28,0,31,27,31,24,32,18,25,23
8273484,Dolphins,1,1,1,0,0,1,12,0,1,10,6,12,7,7,2,3
8273482,Steelers,1,1,1,1,0,0,25,0,28,15,11,14,11,29,6,27
8273497,Jaguars,1,1,1,0,0,1,14,0,2,24,28,10,26,10,7,6
8273511,Titans,1,1,1,1,0,0,26,0,29,17,27,32,31,31,18,31
8273508,Rams,1,1,1,1,0,0,27,0,27,21,20,21,24,26,8,20
8273492,Saints,1,1,1,1,0,0,22,0,25,12,5,30,9,19,32,28
8273491,Panthers,1,1,1,1,0,0,23,0,22,23,22,11,21,14,15,12
8273504,Cowboys,1,1,1,1,0,0,29,0,24,29,17,16,19,9,27,16
8273486,Ravens,1,1,1,0,0,1,7,0,21,3,8,5,4,30,11,30
8273498,Texans,1,1,1,0,0,1,2,0,16,4,2,15,2,6,1,2
8273495,Cardinals,1,1,1,1,0,0,17,0,10,31,23,26,27,5,23,7
8273489,Chiefs,1,1,1,1,0,0,21,0,8,26,12,7,8,3,30,13
8273493,Eagles,1,1,1,0,0,1,3,0,3,7,18,9,15,4,20,4
8273485,Commanders,1,1,1,1,0,0,30,0,23,32,26,31,30,27,22,26
8273499,Bills,1,1,1,0,0,1,13,0,9,11,19,18,22,11,21,11
8273494,Giants,1,1,1,0,0,1,1,0,4,1,1,28,1,1,29,5
8273507,Chargers,1,1,1,1,0,0,18,0,17,19,21,19,25,23,13,21
8317450,Steelers,1,1,2,2,0,0,25,25,24,21,21,13,23,27,6,23
8317452,Dolphins,1,1,2,0,0,2,5,12,3,1,1,26,1,18,7,11
8317476,Titans,1,1,2,2,0,0,30,26,30,18,24,32,29,30,23,32
8317475,Buccaneers,1,1,2,1,0,1,14,8,31,3,3,4,2,32,3,29
8317477,Raiders,1,1,2,2,0,0,22,20,10,27,26,6,21,17,12,12
8317480,Eagles,1,1,2,0,0,2,1,3,2,12,25,10,26,5,22,5
8317463,Bengals,1,1,2,1,0,1,19,28,20,28,30,31,32,7,30,20
8317454,Ravens,1,1,2,0,0,2,7,7,12,2,12,3,5,26,9,25
8317471,49ers,1,1,2,1,0,1,13,5,15,26,23,30,28,8,4,4
8317464,Jaguars,1,1,2,0,0,2,9,14,13,4,11,2,4,21,8,13
8317457,Chiefs,1,1,2,2,0,0,27,21,29,13,7,15,8,22,32,28
8317465,Texans,1,1,2,0,0,2,6,2,4,8,6,27,9,4,1,2
8317460,Saints,1,1,2,1,0,1,20,22,19,7,5,18,6,16,24,18
8317479,Cowboys,1,1,2,1,0,1,21,29,23,24,14,9,10,12,26,16
8317481,Seahawks,1,1,2,2,0,0,31,31,18,31,32,12,31,20,17,19
8317466,Bills,1,1,2,1,0,1,17,13,32,16,9,20,11,31,10,30
8317459,Panthers,1,1,2,1,0,1,18,23,11,25,15,17,15,3,16,3
8317468,Lions,1,1,2,0,0,2,10,16,6,19,22,7,17,11,25,14
8317451,Colts,1,1,2,2,0,0,24,24,22,23,13,19,13,19,29,27
8317469,Packers,1,1,2,2,0,0,32,32,27,29,31,1,25,28,2,24
8317456,Jets,1,1,2,2,0,0,23,19,26,11,10,21,12,23,13,17
8317470,Bears,1,1,2,0,0,2,4,11,1,10,27,5,18,1,5,1
8317458,Vikings,1,1,2,1,0,1,12,4,25,17,20,14,22,15,27,21
8317467,Broncos,1,1,2,0,0,2,3,10,8,20,17,16,20,9,15,9
8317472,Chargers,1,1,2,2,0,0,28,18,14,15,19,11,19,24,21,26
8317453,Commanders,1,1,2,2,0,0,26,30,16,32,29,24,30,14,20,15
8317473,Rams,1,1,2,1,0,1,16,27,17,22,16,22,24,13,11,8
8317461,Giants,1,1,2,1,0,1,15,1,5,9,8,28,16,2,31,6
8317474,Patriots,1,1,2,0,0,2,8,9,28,5,2,29,3,29,28,31
8317478,Falcons,1,1,2,0,0,2,11,15,7,14,18,8,14,6,18,7
8317455,Browns,1,1,2,0,0,2,2,6,21,6,4,25,7,25,14,22
8317462,Cardinals,1,1,2,2,0,0,29,17,9,30,28,23,27,10,19,10
8356500,Colts,1,1,3,3,0,0,28,24,30,18,23,12,25,22,29,27
8356528,Cowboys,1,1,3,1,0,2,15,21,27,8,12,15,13,21,26,24
8356510,Giants,1,1,3,3,0,1,24,15,9,24,11,23,12,5,30,15
8356520,Chargers,1,1,3,3,0,1,25,28,15,25,15,9,14,27,20,25
8356504,Browns,1,1,3,1,0,2,10,2,17,10,14,26,18,14,16,13
8356515,Bills,1,1,3,1,0,2,12,17,28,23,19,21,17,28,3,23
8356502,Commanders,1,1,3,3,0,0,31,26,13,32,28,25,29,9,24,11
8356523,Buccaneers,1,1,3,2,0,1,16,14,32,5,3,3,2,32,2,31
8356509,Saints,1,1,3,2,0,1,22,20,25,19,21,24,21,15,22,17
8356514,Texans,1,1,3,0,0,3,5,6,8,4,6,16,10,2,4,1
8356519,49ers,1,1,3,2,0,1,18,13,12,28,26,30,28,4,8,4
8356513,Jaguars,1,1,3,0,0,4,6,9,5,9,9,2,3,24,10,21
8356524,Titans,1,1,3,2,0,1,23,30,23,26,27,31,30,18,23,19
8356521,Rams,1,1,3,2,0,1,19,16,11,27,20,27,22,7,13,6
8356511,Cardinals,1,1,3,3,0,0,32,29,7,31,30,20,31,6,17,7
8356503,Ravens,1,1,3,0,0,3,1,7,19,2,13,5,11,26,5,22
8356506,Chiefs,1,1,3,3,0,0,30,27,26,21,18,17,15,12,31,20
8356512,Bengals,1,1,3,3,0,1,26,19,31,12,1,29,1,31,32,32
8356526,Falcons,1,1,3,0,0,3,2,11,16,1,4,14,8,17,25,18
8356499,Steelers,1,1,3,2,0,1,21,25,21,15,22,13,19,19,6,16
8356508,Panthers,1,1,3,1,0,2,9,18,3,16,16,18,16,1,12,2
8356498,Broncos,1,1,3,0,0,3,4,3,4,22,24,19,26,11,11,8
8356507,Vikings,1,1,3,1,0,3,8,12,14,14,8,7,6,23,28,26
8356527,Seahawks,1,1,3,2,0,1,17,31,10,30,32,11,32,13,15,10
8356525,Raiders,1,1,3,3,0,1,27,22,22,11,10,4,4,29,21,28
8356518,Bears,1,1,3,1,0,2,14,4,6,13,25,8,23,3,9,3
8356517,Packers,1,1,3,2,0,1,20,32,18,29,31,1,24,20,1,14
8356501,Dolphins,1,1,3,0,0,3,3,5,1,3,5,22,9,8,7,5
8356529,Eagles,1,1,3,1,0,2,11,1,2,20,29,10,27,10,18,9
8356505,Jets,1,1,3,3,0,0,29,23,20,17,17,28,20,16,14,12
8356516,Lions,1,1,3,0,0,3,7,10,24,6,7,6,5,30,19,30
8356522,Patriots,1,1,3,1,0,2,13,8,29,7,2,32,7,25,27,29
8395672,Patriots,1,1,4,2,0,2,16,13,29,5,6,31,9,24,23,24
8395654,Browns,1,1,4,2,0,3,10,10,11,24,14,23,20,14,20,13
8395648,Broncos,1,1,4,0,0,4,4,4,1,21,26,21,27,2,2,2
8395659,Saints,1,1,4,3,0,2,22,22,24,23,8,26,11,26,24,26
8395660,Giants,1,1,4,3,0,2,21,24,17,8,1,29,3,16,28,19
8395653,Ravens,1,1,4,1,0,3,7,1,23,2,15,6,13,22,16,20
8395662,Bengals,1,1,4,4,0,1,28,26,31,15,3,30,4,29,31,31
8395663,Jaguars,1,1,4,0,0,4,5,6,5,9,22,8,21,11,1,8
8395664,Texans,1,1,4,0,0,5,3,5,10,1,4,3,2,12,19,12
8395669,49ers,1,1,4,2,0,2,15,18,9,27,25,32,28,3,6,3
8395665,Bills,1,1,4,2,0,3,12,12,25,22,11,13,7,30,7,27
8395650,Colts,1,1,4,3,0,2,20,28,22,19,20,11,19,25,32,28
8395666,Lions,1,1,4,0,0,4,2,7,15,7,18,10,18,23,10,22
8395678,Cowboys,1,1,4,2,0,2,17,15,27,11,16,17,17,21,25,23
8395667,Packers,1,1,4,3,0,1,24,20,18,31,29,2,25,13,4,10
8395668,Bears,1,1,4,1,0,3,8,14,2,16,27,7,24,1,3,1
8395652,Commanders,1,1,4,4,0,0,31,31,14,32,28,27,30,7,21,11
8395670,Chargers,1,1,4,4,0,1,27,25,28,14,12,18,10,31,9,30
8395671,Rams,1,1,4,3,0,2,18,19,12,25,13,22,16,17,18,16
8395658,Panthers,1,1,4,1,0,4,6,9,3,12,5,14,5,4,12,4
8395651,Dolphins,1,1,4,0,0,4,1,3,4,3,7,25,8,8,5,7
8395673,Buccaneers,1,1,4,3,0,2,19,16,32,6,2,1,1,32,26,32
8395674,Titans,1,1,4,4,0,1,29,23,30,18,17,15,15,28,29,29
8395661,Cardinals,1,1,4,4,0,0,32,32,8,29,30,9,29,9,11,9
8395675,Raiders,1,1,4,3,0,1,26,27,20,13,23,12,22,19,8,15
8395649,Steelers,1,1,4,2,0,3,13,21,21,10,19,4,14,27,13,25
8395676,Falcons,1,1,4,1,0,3,9,2,13,4,10,20,12,18,22,17
8395657,Vikings,1,1,4,2,0,3,11,8,16,17,9,5,6,20,27,21
8395655,Jets,1,1,4,4,0,0,30,29,19,26,24,28,26,15,15,14
8395656,Chiefs,1,1,4,3,0,1,25,30,26,20,21,19,23,10,30,18
8395679,Eagles,1,1,4,2,0,2,14,11,6,28,31,24,32,6,17,6
8395677,Seahawks,1,1,4,3,0,1,23,17,7,30,32,16,31,5,14,5
8431718,Browns,1,1,5,3,0,3,16,10,17,24,19,23,20,12,16,13
8431735,Rams,1,1,5,3,0,2,18,18,11,25,21,27,23,8,10,5
8431734,Chargers,1,1,5,5,0,1,28,27,31,14,7,12,7,32,11,32
8431725,Cardinals,1,1,5,6,0,0,30,32,8,32,31,8,28,16,23,16
8431715,Commanders,1,1,5,5,0,0,32,31,14,31,28,25,30,5,20,8
8431743,Eagles,1,1,5,3,0,3,15,14,7,26,29,16,31,13,18,14
8431732,Bears,1,1,5,2,0,4,8,8,5,22,22,7,18,6,26,12
8431742,Cowboys,1,1,5,2,0,3,13,17,26,13,18,13,17,22,24,24
8431712,Broncos,1,1,5,0,0,5,3,4,1,21,26,18,27,2,1,2
8431721,Vikings,1,1,5,3,0,3,14,11,20,16,10,6,5,25,27,27
8431731,Packers,1,1,5,3,0,2,21,24,10,30,30,2,26,9,6,6
8431730,Lions,1,1,5,1,0,4,7,2,15,10,17,10,15,23,14,20
8431717,Ravens,1,1,5,1,0,5,6,7,23,1,1,4,1,30,22,29
8431719,Jets,1,1,5,5,0,0,31,30,21,27,27,29,29,17,15,15
8431741,Seahawks,1,1,5,4,0,1,27,23,12,29,32,14,32,10,8,7
8431733,49ers,1,1,5,4,0,2,24,15,9,28,23,31,25,11,13,9
8431729,Bills,1,1,5,2,0,3,9,12,28,19,20,21,19,27,3,21
8431740,Falcons,1,1,5,2,0,3,12,9,13,5,14,24,16,15,28,17
8431716,Colts,1,1,5,3,0,2,22,20,25,18,25,20,24,19,29,26
8431728,Texans,1,1,5,0,0,6,4,3,6,2,3,3,2,3,12,4
8431727,Jaguars,1,1,5,0,0,6,5,5,4,8,9,11,8,18,2,11
8431726,Bengals,1,1,5,4,0,2,25,28,29,15,2,30,6,28,31,28
8431724,Giants,1,1,5,3,0,2,20,21,19,6,4,32,9,7,25,10
8431720,Chiefs,1,1,5,4,0,2,26,25,18,23,11,15,12,14,30,25
8431723,Saints,1,1,5,3,0,2,23,22,27,20,16,28,21,20,17,19
8431722,Panthers,1,1,5,1,0,4,2,6,3,12,12,22,14,1,5,1
8431739,Raiders,1,1,5,3,0,3,17,26,16,11,15,1,4,26,9,22
8431713,Steelers,1,1,5,2,0,3,11,13,24,9,24,9,22,24,7,18
8431738,Titans,1,1,5,5,0,1,29,29,30,17,13,17,13,29,32,31
8431737,Buccaneers,1,1,5,3,0,2,19,19,32,4,5,5,3,31,19,30
8431736,Patriots,1,1,5,2,0,3,10,16,22,7,6,26,10,21,21,23
8431714,Dolphins,1,1,5,0,0,5,1,1,2,3,8,19,11,4,4,3
